subject_id_namespace	subject_id	role_id	taxonomy_id
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
cfde_id_namespace:3		cfde_subject_role:3	NCBI:txid9606
