file_id_namespace	file_id	biosample_id_namespace	biosample_id
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
cfde_id_namespace:3		cfde_id_namespace:3	
